name,src,img,tags,開催日,販売,住所,TEL,MAIL,Instagram,content,見学,WEB,Twitter,所要時間,駐車場,採用情報,オンラインショップ,Facebook,開催情報,見学予約,営業時間,入館料,注意事項,開催日時,予約方法,レストラン営業時間,ショップ,料金,予約,LINE,イベントページ,求人情報,見学料金,Mail,web,販売・見学,求人募集,備考
雲職人ニュアージュ,https://renew-fukui.com/exhibitor/nyuazyu/,https://renew-fukui.com/kanri/wp-content/uploads/2022/07/6d85f231c5bc56e9741702dbc8e7eb18.jpg,ローカルフード,7-8日,※うるしの里フードコートにて出展,〒913-0016 福井県坂井市三国町三国東7-1-26,0776-81-8484,rcbpn446_0320@yahoo.co.jp,https://www.instagram.com/patisserie_nuage/,"パティスリーを長年営んできたNUAGE。従来のケーキ屋の固定概念にとらわれず、自由に楽しいもの作りを目指し、予約制の商品販売やカフェ、定期的に雲バスでの移動式パティスリーを行っています。
どこにもない商品作りをコンセプトに掲げるNUAGEの逸品を是非お召し上がり下さい。",,,,,,,,,,,,,,,,,,,,,,,,,,,,
河和田アートキャンプ/co-minka,https://renew-fukui.com/exhibitor/co-minka/,https://renew-fukui.com/kanri/wp-content/uploads/2021/07/artcamp01-1024x683.jpg,地域企業,7-8日,,〒916-1222 福井県鯖江市河和田町15-12-1,050-1276-1376,kimura.ac.218a@gmail.com,https://www.instagram.com/kawada_artcamp/,2004年から、関西圏を中心に芸術やデザインを学ぶ大学生が河和田を訪れ、夏休みの約40日間を通して地域での共同生活をしながら活動を続けてきました。豊かな自然の中で、地域住民との対話や作品制作を通してさまざまな地域課題を見つけ、自分たちが学ぶ美術やデザインと結び付けて解決の糸口を探っていくプロジェクトです。アートキャンプ参加学生の拠点として、愛されてきた築120年のco-minka（古民家）をギャラリーやシェアオフィスなど、河和田を訪れる様々な人が使用できるように、新たな使い方を模索しながらリノベーションをしています。,7-8日 10:00-12:00 / 13:00-17:00,http://aai-b.jp/ac/,https://twitter.com/kawada_ac,,,,,,,,,,,,,,,,,,,,,,,,,
龍泉刃物,https://renew-fukui.com/exhibitor/ryuusen/,https://renew-fukui.com/kanri/wp-content/uploads/2021/07/ryusen01-1024x645.jpg,"工房見学,工房見学予約受付,ワークショップ,ショップ,求人募集",7・8日,7・8日 9:00-17:00,〒915-0873 福井県越前市池ノ上町92-5-6,0778-23-3552,info@ryusen-hamono.com,https://www.instagram.com/ryusen.japan/,龍泉刃物は、昭和28年、越前の地に700年伝わる「越前打刃物」（日本の伝統工芸指定）の伝統的技術を用いた刃物の製造を開始しました。近年では、素材特性を最大限引き出すべく、独自の鍛造・熱処理・刃砥ぎ・プレス・溶接の加工技術を取り入れながら刃物の可能性を拡げ、新分野としてカトラリーやステーショナリーなどのものづくりにも着手。その卓越した技術と洗練されたデザインは世界中で高く評価されています。越前に誇れるものづくりを継承していきながら、世界に向け信頼と実績のブランドの確立を目指してまいります。,7・8日 9:00-12:00 / 13:00-17:00,https://ryusen-hamono.com/,https://twitter.com/RyusenJapan,20-30分程度,有り,一緒に働く人を募集しています。,https://ryusenhamono.shop-pro.jp/,https://www.facebook.com/ryusen117,,,,,,,,,,,,,,,,,,,,
とべーぐる砺波マチナカ店,https://renew-fukui.com/exhibitor/%e3%81%a8%e3%81%b9%e3%83%bc%e3%81%90%e3%82%8b%e7%a0%ba%e6%b3%a2%e3%83%9e%e3%83%81%e3%83%8a%e3%82%ab%e5%ba%97/,https://renew-fukui.com/kanri/wp-content/uploads/2023/09/tobagel.jpg,ローカルフード,,,〒939-1364 富山県砺波市豊町2-7-3 イネス砺波,,,,とべーぐるは、地元富山県産コシヒカリの米粉を使用した焼きたてベーグル専門店です。米粉を使用することで 独特の『ふわっ！もちっ！食感』を生み出しています。基本生地には、保存料や安定剤など使用せず ひとつひとつ、手作りで仕上げ、焼きたてにこだわって商品をご提供しています。 そんなお店のコンセプトを大切にするためマチナカ号にもオーブンを搭載し、その場で焼き上げています。焼きたてベーグルをお届けするためマチナカ号は、東へ西へ、日々走り続けています。,,,,,,,,,7-8日 10:00-14:00,,,,,,,,,,,,,,,,,,,
WoodWood Coffee Roast Service,https://renew-fukui.com/exhibitor/woodwood/,https://renew-fukui.com/kanri/wp-content/uploads/2022/07/10-min-819x1024.jpg,ローカルフード,,,〒918-8239 福井市成和1-2231 WWビル1F,050-3395-5115,,https://www.instagram.com/woodwood_coffee/,"豊かな生活の一部に本物の美味しいコーヒーを自信を持ってご提供します。
世界各地より厳選したスペシャルティコーヒー豆を使用し、コーヒーの持つ個性をより引き出す当店オリジナルレシピにて焙煎しております。
香り高く、風味豊かなコーヒーをどうぞお楽しみください。",,https://woodwood-coffee.shop/,,,,,,,"6-8日 11:00-15:00
※無くなり次第終了",,,,,,,,,,,,,,,,,,,
丸廣意匠,https://renew-fukui.com/exhibitor/maruhiroisyou/,https://renew-fukui.com/kanri/wp-content/uploads/2021/07/maruhiro01-1024x684.jpg,工房見学,6-8日,,〒916-1237 福井県鯖江市北中町535,0778-65-2209,maruhiro.isho@gmail.com,https://www.instagram.com/maruhiroisho/,"丸廣意匠は木製品の塗装を行っています。
吹付塗装と聞くと機械的な印象を受けますが、下地〜上塗りの間で塗装と研磨を繰り返して、ひとつひとつ丁寧に面を仕上げていきます。また、色の違いで物の印象は大きく変わります。見慣れた物や時代遅れと言われてしまうような物も、新たな色を塗り重ねることで今までとは異なる価値や魅力を持つ物に生まれ変わるかもしれません。
すでに形ある物の表情を変えることができるのも塗装の魅力の一つです。",6-8日 10:00-17:00,https://maruhiro-isho.com,,15分,,,https://maruhiroisho.theshop.jp/,,,不要,,,,,,,,,,,,,,,,,,
越前和紙の里 パピルス館,https://renew-fukui.com/exhibitor/papirusu/,https://renew-fukui.com/kanri/wp-content/uploads/2021/07/papirusukan03.jpg,"ワークショップ,ワークショップ予約受付,ショップ",6-8日,6-8日 9:00-16:00,〒915-0232 福井県越前市新在家町8-44,0778-42-1363,papyrus2012@yahoo.co.jp,https://www.instagram.com/echizen.washi/,"「越前和紙の里パピルス館」では和紙づくりを子どもから大人まで体験していただけます。スタッフのサポートで、名刺やハガキ、和紙の灯りが20～40分ほどで完成！押し花や染料も用意していますので、自由な発想で世界に一つだけの和紙をつくってみませんか？
併設する「和紙処えちぜん」は、産地組合の直売店。書画用紙はもちろん、和紙の名刺入れやバッグなどの雑貨も豊富に揃っており、きっとお気に入りの一品が見つかるはずです。全国発送にも対応。越前和紙の魅力をたっぷり感じながら、ゆっくりとお買い物をお楽しみください。",,https://www.echizenwashi.jp/papyrus/,,,,,,,,,,,,,,,,,,,,,,,,,,
清水和紙,https://renew-fukui.com/exhibitor/shimizu_washi/,https://renew-fukui.com/kanri/wp-content/uploads/2021/07/shimizu01-1024x768.jpg,"ワークショップ,ワークショップ予約受付,ショップ",6-8日,6-8日 9:00-12:00 / 13:00-17:00,〒915-0232 福井県越前市新在家町10-2,090-9318-9508,info@shimizuwashi.com,,清水和紙は、様々な種類の越前和紙を取り揃えている産地問屋です。越前和紙の美しさや技法、可能性を知ってもらえるように、RENEWでは数多くの和紙に触れて頂ける機会を提供します。また当社ではオリジナル和紙の企画・提案もさせて頂いております。和紙商品は素材を活かしたシンプルなものが主ですが、新しい商品も用意しております。,,http://www.shimizuwashi.com,,,,,,,,,,,,,,,,,,,,,,,,,,
opt duo Inc.,https://renew-fukui.com/exhibitor/opt-duo-inc/,https://renew-fukui.com/kanri/wp-content/uploads/2022/07/RENEW_opt.duo_-4000x2667.jpg,ショップ,6-8日,8日 10:00-12:00 / 13:00-16:00,〒916-1237 福井県鯖江市北中町539,0778-65-2374,info@optduo.co.jp,https://www.instagram.com/mal_eyewear/?hl=ja,昭和初期に日本で開発された合金“サンプラチナ”製の眼鏡「MAL」。手しごとから生まれる眼鏡。眼鏡の生産が鯖江ではじまって以来、ずっと作り続けられているシンプルなかたち。小さな工場でひとつひとつ作られた「MAL」は、洗練されたデザインと“サンプラチナ”の柔らかい光沢が特徴の丸眼鏡。少量生産・省エネルギーで無駄の少ない昔ながらの製法は、これからの時代にこそ必要な受け継がれていくべき技術の結晶です。,,https://www.optduo.co.jp/,,,,,https://malglasses.thebase.in/,https://www.facebook.com/mal.sabae,,,,,,,,,,,,,,,,,,,,
越前和紙の里 卯立の工芸館,https://renew-fukui.com/exhibitor/udathunokougeikan/,https://renew-fukui.com/kanri/wp-content/uploads/2022/07/ccdd6a072fe7cfa00d006d20ca958aec-e1691632547382.jpg,"工房見学,ワークショップ,ワークショップ予約受付,ショップ",6-8日,6-8日 9:30-12:00 / 13:00-17:00,〒915-0232 福井県越前市新在家町9-21-2,0778-43-7800,udatsu@echizenwashi.jp,https://www.instagram.com/echizen.washi/,"約1,500年の歴史がある越前和紙。現在は越前市五箇地区(大滝町・岩本町・新在家町・不老町・定友町の5地区)にて、約50社の職人たちが多様な和紙をつくっています。
産地の入り口にある「卯立の工芸館」は紙漉きを生業としていた「妻入り卯立」を持つ西野平右衛門家（定友町）を移築・改修した建物で、創建は江戸中期と伝えられています。館内では伝統工芸士が昔ながらの道具を使い、原料づくり・紙漉き・乾燥など、一連の作業をしている様子を見学していただけます。
また、伝統工芸士の指導のもとでチャレンジする本格的な「流し漉き」体験講座も行っています。職人の心に触れ、ぜひとも和紙を感じてみてください。","6-8日 9:30-12:00 / 13:00-16:00
※上記の時間以外でも施設は見学可能",https://www.echizenwashi.jp/udatsu,,20-30分,,,,,,,6-8日 9:30-12:00 / 13:00-17:00 （入館は16:30まで、紙漉き見学は16:00まで）,大人300円 / 団体200円 / 高校生以下無料,"※15名様から団体割引となります。
※紙の文化博物館との共通入館料です。",,,,,,,,,,,,,,,
